algorithm,size,mean_time,std_time,best_time,worst_time,mean_memory,mean_expansions_inferences,success_rate
forward_chaining,4x4,0.0936677050012804,0.0023409781849796,0.0900728999986313,0.0974318999942625,16.5078125,50.0,1.0
backward_chaining,4x4,0.0821323350006423,0.0067538014740793,0.0731475999928079,0.0970775000023422,63.46484375,233.0,1.0
a_star,4x4,0.1282677600007446,0.0048004301924558,0.1220241999981226,0.1443223999958718,51.8671875,14.0,1.0
backtracking,4x4,0.0895459550003579,0.0064274315593492,0.0831108999991556,0.1059510000050067,3.296875,111.0,1.0
brute_force,4x4,0.0897949649988731,0.0015278826736706,0.0869386999984271,0.0931164999929023,2.15625,112.0,1.0
forward_chaining,5x5,0.1070468999983859,0.003362307287749,0.1031614999956218,0.1181703000038396,29.890625,59.0,1.0
backward_chaining,5x5,0.0801920549987698,0.0029132657963187,0.0770951000013155,0.0867274000047473,201.8818359375,200.0,1.0
a_star,5x5,0.1921570500002417,0.0059702393167921,0.1847276000044075,0.2150480999989668,109.640625,16.0,1.0
backtracking,5x5,0.0858820849993207,0.001163074051232,0.0825527999986661,0.0878867999999784,4.1015625,44.0,1.0
brute_force,5x5,0.0926748349993431,0.0152039577631157,0.0847320000029867,0.1564949000021442,2.9765625,44.0,1.0
forward_chaining,6x6,0.7713528599997517,0.0583796441733627,0.7342648000048939,0.9295899999997346,140.859375,623.0,1.0
backward_chaining,6x6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a_star,6x6,3.84032559000043,0.0399400683449302,3.7911747000034666,3.926108999992721,417.3203125,192.0,1.0
backtracking,6x6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brute_force,6x6,67.81236815000011,0.8538416016202472,67.04996459999529,69.16645180000341,7.53125,10273782.0,1.0
forward_chaining,7x7,0.8386779699998442,0.0331918982987563,0.7756755000009434,0.8810230999952182,280.2265625,355.0,1.0
backward_chaining,7x7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a_star,7x7,1.3185409800003982,0.0150096253456792,1.2984264999977313,1.3506273999955738,311.9765625,47.0,1.0
backtracking,7x7,0.5118679499995779,0.003264843020364,0.506001899993862,0.5159346000000369,9.75,2455.0,1.0
brute_force,7x7,0.9705587600023136,0.0112654884466329,0.9582175999967149,0.9916873000038322,7.78125,121659.0,1.0
